461,-320022004296525960000000000000000000000.000000,-227760081417220610000000000000000000000.000000,-194072459399046650000000000000000000000.000000,-170141183460469230000000000000000000000.000000,-170141183460469230000000000000000000000.000000,-170141183460469230000000000000000000000.000000,-170141183460469230000000000000000000000.000000,-170141183460469230000000000000000000000.000000,-170141183460469230000000000000000000000.000000,
297,-306210514935232920000000000000000000000.000000,-170667674248960820000000000000000000000.000000,-170652097358385220000000000000000000000.000000,-1.#QNAN0,-170600722014859170000000000000000000000.000000,-170772351764925270000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
298,-306210514935232920000000000000000000000.000000,-295090683870030900000000000000000000000.000000,-305724487553900620000000000000000000000.000000,-1.#QNAN0,-326992703393928180000000000000000000000.000000,-334968355322372120000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
299,-306210514935232920000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
300,-306210514935232920000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
301,-313266177046464830000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-206235982697633380000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-283154262711776250000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,
302,-313338869202484320000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-206469636056267450000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-176940638173587810000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,
303,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-253689255831396130000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-216247664031730300000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,
304,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-273180834002191820000000000000000000000.000000,-1.#QNAN0,-275243636188521610000000000000000000000.000000,
305,-1.#QNAN0,-284459172098446390000000000000000000000.000000,-170438543867668370000000000000000000000.000000,-1.#QNAN0,-334968071368637670000000000000000000000.000000,-170751582577491130000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
306,-1.#QNAN0,-318656430222731300000000000000000000000.000000,-248221828086587770000000000000000000000.000000,-1.#QNAN0,-307256864164275710000000000000000000000.000000,-222065287860755310000000000000000000000.000000,-195467017036164930000000000000000000000.000000,-218197148395604490000000000000000000000.000000,-172810470258767410000000000000000000000.000000,
307,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-239688450458862610000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-309084532376070370000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,
308,-1.#QNAN0,-288444543891106320000000000000000000000.000000,-300407595853170560000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
309,-1.#QNAN0,-1.#QNAN0,-325686921863645080000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
310,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-217884738440479440000000000000000000000.000000,-192432038392712910000000000000000000000.000000,-196326463860710060000000000000000000000.000000,-195236101802827350000000000000000000000.000000,-197458080339726600000000000000000000000.000000,-1.#QNAN0,
311,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-272149047543244460000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-255726725288130960000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,
312,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-320023058981825350000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-246666167269987690000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,
313,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
314,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
315,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
316,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
317,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
318,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-171465219159395610000000000000000000000.000000,-1.#QNAN0,-171354538050188490000000000000000000000.000000,-171188972740593880000000000000000000000.000000,-1.#QNAN0,
319,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-333418130191545820000000000000000000000.000000,-1.#QNAN0,-212234424208274950000000000000000000000.000000,-193068540970894700000000000000000000000.000000,-222597660548031960000000000000000000000.000000,
320,-1.#QNAN0,-1.#QNAN0,-305724426706671810000000000000000000000.000000,-1.#QNAN0,-329165659346815400000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
321,-1.#QNAN0,-336074436247697660000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
322,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-224115089022529160000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
323,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
324,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
325,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-307080366635904730000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,
326,-1.#QNAN0,0.000000,0.000000,-338957357666351110000000000000000000000.000000,0.000000,0.000000,-216665319410288700000000000000000000000.000000,0.000000,0.000000,
327,-1.#QNAN0,-213990110148386250000000000000000000000.000000,-1.#QNAN0,-253372931371217580000000000000000000000.000000,-340194077591933770000000000000000000000.000000,-1.#QNAN0,-215697280564725610000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,
328,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
329,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
330,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
331,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
332,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-236120490655845830000000000000000000000.000000,-220942940442927640000000000000000000000.000000,-230725166877178450000000000000000000000.000000,-219634887282768940000000000000000000000.000000,-179560050526670620000000000000000000000.000000,
333,-1.#QNAN0,-279196779232321340000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
334,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
335,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
336,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-170302124380674210000000000000000000000.000000,-1.#QNAN0,
337,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
338,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
339,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
340,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-312368579009455230000000000000000000000.000000,-287144522565150660000000000000000000000.000000,-1.#QNAN0,
341,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
342,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
343,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
344,-1.#QNAN0,-220315240430513830000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-181990917600077870000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-171451447403274730000000000000000000000.000000,-1.#QNAN0,
345,-1.#QNAN0,-318656430222731300000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-307256864164275710000000000000000000000.000000,-244661352492714740000000000000000000000.000000,-1.#QNAN0,-218197148395604490000000000000000000000.000000,-199394624526273660000000000000000000000.000000,
346,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
347,-1.#QNAN0,-186652058715912270000000000000000000000.000000,-170664936123664330000000000000000000000.000000,-310561233772083430000000000000000000000.000000,-242614735669248660000000000000000000000.000000,-315893742928208310000000000000000000000.000000,-230615297064355470000000000000000000000.000000,-303904709199441780000000000000000000000.000000,-1.#QNAN0,
348,-1.#QNAN0,-220315240430513830000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-181990917600077870000000000000000000000.000000,-1.#QNAN0,-170141183460469230000000000000000000000.000000,-171451447403274730000000000000000000000.000000,-1.#QNAN0,
349,-1.#QNAN0,-220315240430513830000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-181990917600077870000000000000000000000.000000,-1.#QNAN0,-289866989841429620000000000000000000000.000000,-171451447403274730000000000000000000000.000000,-1.#QNAN0,
350,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
351,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-261437318841677500000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,
352,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-170639258593106110000000000000000000000.000000,-290078170290222840000000000000000000000.000000,-1.#QNAN0,
353,0.000000,0.000000,-1.#QNAN0,0.000000,0.000000,-1.#QNAN0,0.000000,0.000000,-270039676944464680000000000000000000000.000000,
354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
355,0.000000,-1.#QNAN0,-1.#QNAN0,0.024274,-1.#QNAN0,-1.#QNAN0,0.000000,-1.#QNAN0,-1.#QNAN0,
356,0.000000,-1.#QNAN0,-1.#QNAN0,0.031056,-1.#QNAN0,-1.#QNAN0,0.000000,-1.#QNAN0,-1.#QNAN0,
441,-171470391173844540000000000000000000000.000000,-171470391173844540000000000000000000000.000000,-171470391173844540000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
443,-179536036153699890000000000000000000000.000000,0.000000,0.000000,-194315564360556020000000000000000000000.000000,0.000000,0.000000,-282548690808240020000000000000000000000.000000,0.000000,0.000000,
444,-212006287665053080000000000000000000000.000000,0.000000,0.000000,-294963695703502430000000000000000000000.000000,0.000000,0.000000,-1.#QNAN0,0.000000,0.000000,
445,-255211775190703850000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-255211775190703850000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,-255211775190703850000000000000000000000.000000,-1.#QNAN0,-1.#QNAN0,
446,-261896897960886650000000000000000000000.000000,0.000000,0.000000,-1.#QNAN0,0.000000,0.000000,-1.#QNAN0,0.000000,0.000000,
447,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
448,-1.#QNAN0,0.000000,0.000000,-170475113052183750000000000000000000000.000000,0.000000,0.000000,-1.#QNAN0,0.000000,0.000000,
449,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-328319314958874220000000000000000000000.000000,-300728706962015570000000000000000000000.000000,-335630068935691260000000000000000000000.000000,
450,-1.#QNAN0,0.000000,0.000000,-1.#QNAN0,0.000000,0.000000,-1.#QNAN0,0.000000,0.000000,
451,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
452,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,
453,0.000000,0.000000,0.000000,-170141183460469230000000000000000000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
454,0.000000,17708738076872442000000.000000,0.000000,13782465018833731000000.000000,0.000000,9451558.000000,0.000000,0.000000,0.000000,
